cooling	deck	dishwasher	heating	last sold	laundry	num_rooms	refridg	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore
								0	0		7.333333333	House For Sale	299000	403000		"178 Ridgeway Dr, Alexander City, AL35010"	4	3	4446	1984	784080	Lake Martins Realtors of Choice	http://www.zillow.com/homedetails/178-Ridgeway-Dr-Alexander-City-AL-35010/104566088_zpid/		0	11
											8.333333333	House For Sale	394900	408000		"3640 Village Ln, Gulf Shores, AL36542"	4		3504	1996			http://www.zillow.com/homedetails/3640-Village-Ln-Gulf-Shores-AL-36542/2141203304_zpid/		0	19
				1		9		0			9	For Sale by Owner	1640000	806000		"2598 Glenn Brooke Dr, AUBURN, AL36830"	5		7540	2008	134600.4		http://www.zillow.com/homedetails/2598-Glenn-Brooke-Dr-Auburn-AL-36830/90649159_zpid/	1	0	3
1			1	1		5		0	1		2	Foreclosure	47000	64000		"204 Olive Ave, Birmingham, AL35215"	3	2	1275	1956	13939.2		http://www.zillow.com/homedetails/204-Olive-Ave-Birmingham-AL-35215/908786_zpid/		0	14
											7	House For Sale	69900			"11190 Trace Ln, Wilmer, AL36587"	3	2	1173	2012		The Cummings Team	http://www.zillow.com/homedetails/11190-Trace-Ln-Wilmer-AL-36587/2104287551_zpid/		0	0
											5.333333333	Lot/Land For Sale	89900			"Lakeshore W LOT 129, Crane Hill, AL35053"					52272	Lake Homes Realty	http://www.zillow.com/homedetails/Lakeshore-W-LOT-129-Crane-Hill-AL-35053/2104288311_zpid/		0	3
											6.666666667	Lot/Land For Sale	109900			"Edgewater Ests LOT 5, Crane Hill, AL35053"					43560	Lake Homes Realty	http://www.zillow.com/homedetails/Edgewater-Ests-LOT-5-Crane-Hill-AL-35053/2104288321_zpid/		0	0
											6	Lot/Land For Sale	99900			"Olivia Shrs LOT 2, Arley, AL35541"					43560	Lake Homes Realty	http://www.zillow.com/homedetails/Olivia-Shrs-LOT-2-Arley-AL-35541/2104288312_zpid/		0	0
1	1	1						0	0		4.666666667	House For Sale	249000			"0 County Road 113, Double Springs, AL35553"	3	2	1600	2007		Lake Homes Realty	http://www.zillow.com/homedetails/0-County-Road-113-Double-Springs-AL-35553/2104288310_zpid/		0	0
1	1	1						0	2	1	6.666666667	House For Sale	489900	228000		"2289 County Road 870, Crane Hill, AL35053"	6	4	3700	2007	17859.6	Lake Homes Realty	http://www.zillow.com/homedetails/2289-County-Road-870-Crane-Hill-AL-35053/2136907416_zpid/		0	0
1	1		1	1		6		0	4		3.333333333	Foreclosure	89900	143000		"500 Woodhill Cove Dr, Bessemer, AL35022"	3	2	1172	2006	"5,400"	Homepath	http://www.zillow.com/homedetails/500-Woodhill-Cove-Dr-Bessemer-AL-35022/80746161_zpid/		0	24
1		1	1			6		0	8	1	3.333333333	House For Sale	75000	64000		"513 Union Grove Rd, Adamsville, AL35005"	3	1	1700	1930	37026	"Cedar Crest Realty, LLC"	http://www.zillow.com/homedetails/513-Union-Grove-Rd-Adamsville-AL-35005/918106_zpid/		0	13
											4	Lot/Land For Sale	66500			"County Rd # 502, Verbena/Chilton, AL36091"					827640	Bingham Holdings LLC dba Real Estate Associates	http://www.zillow.com/homedetails/County-Rd-502-Verbena-chilton-AL-36091/2104288648_zpid/		0	0
