ListKey	cooling	deck	dishwasher	heating	last_sold	laundry	num_rooms	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore	Street	City	State	Zipcode
4484							0	1	0		5.333333333	Lot/Land For Sale	115000		13	"Fairmount, Port Townsend, WA98368"					174240	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Fairmount-Port-Townsend-WA-98368/2104363084_zpid/		0	8	Fairmount	 Port Townsend	WA	98368
4485							0	1	0		3.333333333	Lot/Land For Sale	73500		13	"Prospect Ave, Port Townsend, WA98368"					"9,147"	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Prospect-Ave-Port-Townsend-WA-98368/2104363083_zpid/		0	0	Prospect Ave	 Port Townsend	WA	98368
4486							0	1	0		4.666666667	Lot/Land For Sale	89500		13	"Wheeler, Port Ludlow, WA98365"					14810.4	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Wheeler-Port-Ludlow-WA-98365/2104363081_zpid/		0	2	Wheeler	 Port Ludlow	WA	98365
4487							0	1	0		4.666666667	Lot/Land For Sale	225000		13	"Bridge View Estate Tracts, Port Ludlow, WA98365"					212572.8	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Bridge-View-Estate-Tracts-Port-Ludlow-WA-98365/2104363080_zpid/		0	8	Bridge View Estate Tracts	 Port Ludlow	WA	98365
4488							0	1	0		4.666666667	Lot/Land For Sale	149000		13	"Quarry Rd, Port Ludlow, WA98365"					22215.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Quarry-Rd-Port-Ludlow-WA-98365/2104363079_zpid/		0	0	Quarry Rd	 Port Ludlow	WA	98365
4489							0	1	0		4.666666667	Lot/Land For Sale	98900		13	"9999 Marianne Mdws, Port Ludlow, WA98365"					21780	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/9999-Marianne-Mdws-Port-Ludlow-WA-98365/2104363078_zpid/		0	0	9999 Marianne Mdws	 Port Ludlow	WA	98365
4490							0	1	0		4.666666667	Lot/Land For Sale	35000		13	"Rainier Ln, Port Ludlow, WA98365"					16117.2	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Rainier-Ln-Port-Ludlow-WA-98365/2104363077_zpid/		0	9	Rainier Ln	 Port Ludlow	WA	98365
4491							0	1	0		4.666666667	Lot/Land For Sale	62000		13	"Laurel, Port Hadlock, WA98339"					31798.8	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Laurel-Port-Hadlock-WA-98339/2104363076_zpid/		0	3	Laurel	 Port Hadlock	WA	98339
4492							0	1	0		6	Lot/Land For Sale	135000		13	"Cape George Rd, Port Townsend, WA98368"				2005	17424	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/Cape-George-Rd-Port-Townsend-WA-98368/112559039_zpid/		0	43	Cape George Rd	 Port Townsend	WA	98368
4493		1	1	1	"125,000"	1	3	1	2		3.333333333	Townhouse For Sale	239000		13	"38 Brighton St, Port Hadlock, WA98339"	3	2	1962	1993	15246	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/38-Brighton-St-Port-Hadlock-WA-98339/112546423_zpid/		0	20	38 Brighton St	 Port Hadlock	WA	98339
4494		1		1	"160,000"	1	4	1	0		5.333333333	Home For Sale	168000		13	"32 Cliffline Ct, Brinnon, WA98320"	4	2		2003	117612	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/32-Cliffline-Ct-Brinnon-WA-98320/112553045_zpid/		0	0	32 Cliffline Ct	 Brinnon	WA	98320
4495		1	1	1	"130,000"	1	2	1	0		4.666666667	Townhouse For Sale	229500		13	"883 Walker Way, Port Ludlow, WA98365"	2	2	1690	1992	11325.6	Coldwell Banker Best Homes	http://www.zillow.com/homedetails/883-Walker-Way-Port-Ludlow-WA-98365/112549312_zpid/		0	21	883 Walker Way	 Port Ludlow	WA	98365
4496							0	1	0		4.666666667	Lot/Land For Sale	105900		13	"0LOT 3 Buzzie Ln, Sedro Woolley, WA98284"					43560	Windermere Real Estate/Skagit Valley	http://www.zillow.com/homedetails/0LOT-3-Buzzie-Ln-Sedro-Woolley-WA-98284/2104363606_zpid/		0	2	0LOT 3 Buzzie Ln	 Sedro Woolley	WA	98284
4497		1		1	"151,000"		3	1	8		5.333333333	House For Sale	179900	164000	13	"720 Bingham Pl, Sedro Woolley, WA98284"	3	2	1144	1974	"8,795"	Windermere Real Estate/Skagit Valley	http://www.zillow.com/homedetails/720-Bingham-Pl-Sedro-Woolley-WA-98284/23383232_zpid/	1	0	41	720 Bingham Pl	 Sedro Woolley	WA	98284
4498							0	1	0		4.666666667	Lot/Land For Sale	105900		13	"0LOT 2 Buzzie Ln, Sedro Woolley, WA98284"					43560	Windermere Real Estate/Skagit Valley	http://www.zillow.com/homedetails/0LOT-2-Buzzie-Ln-Sedro-Woolley-WA-98284/2104363604_zpid/		0	2	0LOT 2 Buzzie Ln	 Sedro Woolley	WA	98284
4499				1	"196,500"		4	1	0		5	House For Sale	220000	248000	13	"19504 3rd Ave S, Des Moines, WA98148"	4	2	1410	1952	"10,250"	Windermere Real Estate/South Inc.	http://www.zillow.com/homedetails/19504-3rd-Ave-S-Des-Moines-WA-98148/48983297_zpid/		0	28	19504 3rd Ave S	 Des Moines	WA	98148
4500		1		1	"75,000"		3	1	0		7	House For Sale	480000	444000	13	"14151 O Halleran Pl SE, Olalla, WA98359"	3	3	2776	2004	41382	Windermere Professional Partners	http://www.zillow.com/homedetails/14151-O-Halleran-Pl-SE-Olalla-WA-98359/59902791_zpid/		0	1	14151 O Halleran Pl SE	 Olalla	WA	98359
4501				1			2	1	1		7	House For Sale	64900	135000	13	"22506 Maple Drive Kp N, Lakebay, WA98349"	2	1		1970	16552.8	Windermere Professional Partners	http://www.zillow.com/homedetails/22506-Maple-Drive-Kp-N-Lakebay-WA-98349/2104363607_zpid/		0	2	22506 Maple Drive Kp N	 Lakebay	WA	98349
4502		1			"302,000"		4	1	0		6.666666667	Foreclosure	210000	248000	13	"707 S Sheridan Ave, Tacoma, WA98405"	4	2	2824	1904	"8,450"	Homepath	http://www.zillow.com/homedetails/707-S-Sheridan-Ave-Tacoma-WA-98405/49201099_zpid/		0	81	707 S Sheridan Ave	 Tacoma	WA	98405
